Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
3.98,-16.71856,0,0,0.2328571,-0.0279813,0.6862684,-7.642509,-0.4559698,-0.4247779,0.09026545,7940
4,-22.4114,0,0,0.2182813,-0.03915848,-0.3213652,-7.422624,-0.5234499,-0.4791865,-0.1608185,7948
4.02,-15.97738,0,0,0.2173864,-0.04152341,0.1824515,-7.839012,-0.4559698,-0.4378498,0.1024646,7948
4.04,-14.78007,0,0,0.2163519,-0.04475859,-0.0007547362,-7.460989,-0.4559698,-0.4250147,0.1865643,7940
4.06,-15.09598,0,0,0.2149583,-0.03984033,0.02977964,-7.082381,-0.4559698,-0.4206084,0.2409983,7952
4.08,-9.779921,0,0,0.2221831,-0.02514277,0.1366499,-6.877651,-0.3884897,-0.3635686,0.538247,7948
4.1,-22.8107,0,0,0.2291528,-0.01434492,0.01451245,-6.240497,-0.5234499,-0.4575151,0.1033263,7944
4.12,-18.29386,0,0,0.2391306,-0.001007453,0.4419934,-7.160822,-0.4559698,-0.4289922,0.2769637,7952
4.14,-17.13545,0,0,0.234351,-0.009786487,-0.7793808,-7.308873,-0.4559698,-0.4231717,0.2260542,7960
4.16,-10.91479,0,0,0.2426174,-0.007315293,0.6251997,-7.304111,-0.3884897,-0.3654516,0.4937471,7956
4.18,-17.21605,0,0,0.2253693,-0.01446202,-0.04655629,-6.630415,-0.4559698,-0.407334,0.1977068,7964
4.2,-24.42292,0,0,0.2285681,-0.01239538,0.4267263,-6.831875,-0.5234499,-0.4733879,-0.06990099,7940
4.22,-47.87383,0,0,0.2207622,-0.03587852,-0.09235785,-7.699317,-0.7933693,-0.7117519,-1.124438,7948
4.24,-44.43064,0,0,0.2239449,-0.07335047,-0.3519,-10.65064,-0.7933693,-0.7737582,-1.200534,7972
4.26,-36.08121,0,0,0.1970046,-0.1462427,-2.336633,-12.1782,-0.7933693,-0.7871655,-1.154383,7964
4.28,-27.79264,0,0,0.03357128,-0.28279,-8.519841,-11.86487,-0.7933693,-0.802801,-1.472868,7956
4.3,-20.62181,0,0,-0.08607357,-0.3904715,-4.947321,-10.42798,-0.7933693,-0.8056167,-1.358042,7972
4.32,-15.28773,0,0,-0.2058514,-0.4695293,-4.748848,-8.364793,-0.7933693,-0.8044285,-1.142915,7952
4.34,-12.66222,0,0,-0.1838275,-0.4496831,0.5183294,-6.476569,-0.7933693,-0.7829844,-0.3320911,7940
