Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
6.48,200,5.970312,5.963712,-4.000001,0.9779642
6.5,200,5.959329,5.971158,-3.923666,2.495088
6.52,200,5.948329,5.957963,-3.877864,2.400984
6.54,200,5.947064,5.97586,-3.877864,3.906744
6.56,200,5.938004,5.949361,-3.9542,2.608267
6.58,200,5.931502,5.952166,-3.984734,3.381421
6.6,200,5.930068,5.958717,-3.847329,4.015191
6.62,200,5.92293,5.940104,-3.877864,3.169193
6.64,200,5.924254,5.95968,-3.969467,4.585608
6.66,200,5.923514,5.951431,-3.938933,4.004018
6.68,200,5.91539,5.931895,-3.969467,3.170128
6.7,200,5.923591,5.972345,-3.908398,5.631438
6.72,200,5.912953,5.920815,-3.923666,2.511858
6.74,200,5.909538,5.939884,-3.908398,4.29299
6.76,200,5.905496,5.930696,-3.862597,3.919138
6.78,200,5.906302,5.941655,-3.923666,4.706616
6.8,200,5.904947,5.934328,-3.877864,4.249525
6.82,200,5.899549,5.923191,-3.938933,3.839454
6.84,200,5.893555,5.918067,-3.908398,3.949949
6.86,200,5.886783,5.910596,-3.9542,3.943194
6.88,200,5.886957,5.924121,-3.938933,4.984824
6.9,200,5.886559,5.919997,-3.969467,4.696272
6.92,200,5.888769,5.927608,-3.862597,5.102675
6.94,200,5.886299,5.915484,-3.893131,4.365904
6.96,200,5.879419,5.903118,-3.9542,3.986217
6.98,200,5.868768,5.887898,-3.923666,3.704672
7,200,5.860246,5.885561,-3.923666,4.248042
7.02,200,5.854088,5.883532,-3.9542,4.613947
7.04,200,5.854788,5.896363,-3.862597,5.556499
7.06,200,5.856398,5.897029,-3.9542,5.471209
7.08,200,5.846334,5.86633,-3.938933,3.930528
7.1,200,5.851964,5.905234,-3.908398,6.490081
7.12,200,5.847457,5.875341,-3.923666,4.538447
7.14,200,5.854783,5.909287,-3.969467,6.566453
7.16,200,5.853533,5.886511,-3.969467,4.893459
7.18,200,5.852611,5.89068,-3.877864,5.297973
7.2,200,5.844005,5.86763,-3.923666,4.230392
7.22,200,5.850848,5.905852,-3.908398,6.633444
7.24,200,5.852183,5.890179,-3.923666,5.294888
7.26,200,5.83973,5.856636,-3.877864,3.735812
7.28,200,5.845159,5.899629,-3.9542,6.631985
7.3,200,5.849296,5.893148,-3.877864,5.772733
7.32,200,5.851952,5.894737,-3.923666,5.670804
7.34,200,5.845347,5.871639,-3.9542,4.429162
7.36,200,5.852369,5.90696,-3.9542,6.590339
7.38,200,5.85738,5.901729,-3.923666,5.754364
7.4,200,5.865694,5.917217,-3.908398,6.256174
7.42,200,5.859876,5.883851,-3.923666,4.145387
7.44,200,5.854227,5.884879,-3.969467,4.707351
7.46,200,5.844855,5.868401,-3.9542,4.218321
7.48,200,5.849795,5.901342,-3.984734,6.370782
7.5,200,5.847995,5.881306,-3.893131,4.958615
7.52,200,5.837915,5.860546,-3.877864,4.195907
