Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
3.22,28.34521,-5,-2.099751,-1.779889,-74.84047,-13.63372,-6.529169,-6.923806,-8.875725,8424
3.24,41.65637,-5,-2.9045,-2.185287,-21.25267,3.296178,-6.596649,-6.98666,-6.359398,8424
3.26,120.1737,-5,-1.528012,-1.714938,66.10614,11.43776,-5.989328,-6.353703,2.467867,8424
3.28,-27.13452,-5,-0.4230919,-0.9721945,54.13667,20.92358,-6.259249,-6.088235,5.900982,8392
3.3,50.1344,-5,0.2979498,-0.215005,44.13667,10.13533,-5.58445,-5.549927,7.419854,8408
3.32,-58.08777,-5,1.259516,0.3987916,50.13667,7.490865,-5.71941,-5.369241,7.09951,8348
3.34,-123.8749,-5,1.788712,0.7622102,25.52597,-7.095684,-5.92185,-5.457456,4.205917,8372
3.36,-113.8113,-5,1.856156,0.7292327,1.846574,-23.656,-5.92185,-5.596306,0.005503654,8364
3.38,-110.686,-5,1.641685,0.3922744,-12.3519,-32.95073,-5.989328,-5.791088,-4.083556,8376
3.4,-25.50012,-5,0.9991896,-0.1053039,-35.68016,-36.55187,-5.65193,-5.776529,-7.06575,8380
3.42,-198.447,-5,-0.2113853,-0.8772851,-63.64963,-26.69725,-6.731609,-6.547908,-12.04599,8400
3.44,-6.394409,-5,-1.510166,-1.65413,-72.90154,-33.10846,-6.326729,-6.738914,-13.13728,8428
3.46,35.30273,-5,-2.624776,-2.372429,-51.9855,-14.14848,-6.326729,-6.842461,-11.92846,8432
3.48,29.55237,-5,-1.655196,-2.224419,25.83131,-0.6415582,-6.259249,-6.572554,-4.433628,8400
3.5,167.1246,-5,-1.373549,-1.739634,19.52597,7.158995,-5.247049,-5.763058,0.4969268,8404
3.52,37.78137,-5,-1.013784,-1.137265,36.01452,24.96056,-5.38201,-5.441897,3.143393,8344
3.54,-49.1676,-5,-0.0118982,-0.352625,54.56415,20.2231,-5.58445,-5.331019,5.462234,8336
3.56,-143.2222,-5,1.511013,0.3820714,72.80843,3.054042,-5.92185,-5.383375,5.86388,8364
3.58,-160.2214,-5,2.387859,0.7422085,48.59468,-20.80548,-5.989328,-5.47271,2.664733,8376
3.6,-73.7085,-5,2.061771,0.5461883,-28.47404,-37.09846,-5.58445,-5.436578,-2.637135,8396
3.62,-160.5778,-5,0.5952946,-0.2430716,-77.26795,-34.47355,-6.191769,-6.023291,-9.91604,8344
3.64,-30.86792,-5,-0.7960564,-1.129035,-75.22215,-36.76986,-5.989328,-6.291105,-12.58438,8424
3.66,74.85022,-5,-1.941648,-1.882267,-46.74886,-21.18871,-5.65193,-6.238797,-11.57784,8400
3.68,-173.2689,-5,-1.511271,-2.069591,13.95345,-2.149457,-6.93405,-6.788597,-8.378559,8364
3.7,47.42065,-5,-0.7742821,-1.775873,35.84659,-16.73164,-5.989328,-6.312802,-3.538981,8460
3.72,-33.96692,-5,0.1264432,-1.383427,42.71682,-7.121883,-5.989328,-5.993471,-1.163977,8388
3.74,-116.312,-5,0.5127959,-0.9962814,10.59467,-10.40608,-6.191769,-5.972743,-1.803315,8392
3.76,-129.8016,-5,0.2180826,-0.9712265,-13.72595,-19.95695,-6.326729,-6.153375,-4.939203,8404
3.78,-270.5903,-5,-0.1728517,-1.331872,-19.43587,-26.69294,-7.33893,-6.924103,-9.227309,8404
3.8,-140.1715,-5,-0.5853757,-1.8531,-20.50458,-43.91371,-7.20397,-7.228645,-11.11723,8452
3.82,123.8467,-5,-1.207355,-2.341639,-33.8939,-39.54966,-5.92185,-6.623304,-9.587181,8448
3.84,-106.3071,-5,-2.698163,-2.918922,-74.50459,-5.368758,-6.93405,-7.064931,-11.40911,8384
3.86,413.6436,-5,-4.099291,-3.040375,-68.33665,-0.3003912,-4.43729,-5.820535,-5.059496,8428
3.88,-69.57971,-5,-5.540769,-3.261834,31.93819,59.74825,-6.529169,-6.562847,-3.872231,8292
3.9,171.5627,-5,-4.380908,-2.43677,49.34277,47.19016,-5.65193,-6.064952,7.633987,8416
3.92,60.96356,-5,-3.223295,-1.584415,48.24354,59.39801,-5.92185,-5.829033,13.48574,8364
3.94,132.007,-5,-2.076087,-0.5539333,52.67102,52.7415,-5.314529,-5.242501,18.644,8424
