Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
4.14,200,4.859577,5.586992,43.73972,29.54024,5.887151,6.824816,-203.7121
4.16,200,5.658453,6.268667,41.51071,22.77394,5.95463,5.806666,47.66229
4.18,200,6.30433,6.769495,32.59467,15.69004,6.29203,5.055314,324.4631
4.2,200,6.895602,7.243653,27.3733,9.708964,5.27983,10.75607,-1358.823
4.22,200,7.222591,7.411049,18.64047,3.361586,5.61723,1.627243,882.7922
4.24,200,7.414555,7.482738,8.029782,-1.214056,4.94243,7.640148,-724.1708
4.26,200,7.450275,7.417177,3.449628,-4.592596,5.27983,1.446169,841.548
4.28,200,7.407597,7.313144,-0.183961,-6.395659,5.887151,2.6804,767.1901
4.3,200,7.441679,7.348677,1.083215,-6.475542,5.21235,9.131991,-981.4472
4.32,200,7.418982,7.308566,-0.8099151,-6.948393,4.60503,5.401735,-321.5609
4.34,200,7.437213,7.333186,0.07558119,-6.811676,3.93023,4.138443,-213.331
4.36,200,7.379672,7.256063,-0.8251827,-7.222775,4.53755,-1.529838,1359.527
4.38,200,7.354703,7.237038,-0.2297625,-6.937308,4.267631,5.299994,-298.1342
4.4,200,7.350833,7.242993,-0.1686933,-6.607824,3.525351,5.569856,-608.1145
4.42,200,7.346375,7.242296,0.1366499,-6.470726,3.25543,1.535829,272.5559
4.44,200,7.30966,7.198541,0.1977187,-6.558142,2.850551,2.369643,-13.79077
4.46,200,7.311913,7.211542,0.1213828,-6.221733,2.64811,1.115851,248.5887
4.48,200,7.273239,7.165562,0.2435202,-6.310535,1.90583,3.313217,-477.066
4.5,200,7.270184,7.172388,0.2129859,-5.981837,1.63591,-0.3374009,325.4959
4.52,0,7.293461,7.206708,-0.3977011,-30.31588,1.16355,0.9011755,-71.76762
4.54,0,7.359138,6.79422,0.2282531,-45.87417,1.23103,-1.692628,596.2601
4.56,0,7.351901,6.585884,-1.084725,-52.27914,0.89363,1.149637,-151.2451
4.58,0,6.978242,6.039224,-24.87099,-56.41051,0.8261509,-0.7391814,275.0821
4.6,0,6.021796,4.888853,-53.51222,-59.01545,-0.3884897,3.530831,-1119.884
4.62,0,4.877355,3.693923,-51.06947,-56.31058,-0.3884897,-5.102186,927.4816
4.64,0,3.822873,2.731684,-51.17634,-49.37284,-0.4559698,-2.870066,442.597
4.66,0,2.876803,1.92876,-48.99314,-41.21665,-1.46817,1.058418,-776.5879
4.68,0,1.916217,1.088477,-37.28321,-33.74008,-1.46817,-5.59996,822.4442
4.7,0,1.472992,0.902625,-18.48931,-23.81861,-1.805569,-2.476981,49.10287
4.72,0,1.183461,0.7833636,-13.80229,-17.27507,-2.008009,-3.141954,179.4231
4.74,0,1.023812,0.7436162,-10.1687,-12.83367,-2.48037,-1.876979,-234.2316
4.76,0,0.9544689,0.7550631,-2.886252,-9.985453,-2.75029,-3.494543,91.09555
4.78,0,1.020217,0.8925243,-1.344267,-7.936549,-3.08769,-3.101498,-71.20263
4.8,0,0.9923359,0.8607137,-1.145793,-7.959898,-3.627529,-2.678128,-316.5558
4.82,0,0.9832745,0.8573639,0.2282531,-7.742406,-3.02021,-7.80785,1118.166
4.84,0,0.998603,0.8821154,0.1213828,-7.498246,-2.75029,-3.206676,149.2353
4.86,0,1.035998,0.9278278,0.7473372,-7.372918,-3.357609,0.3081035,-891.8613
4.88,0,1.107832,1.009263,-0.1381594,-7.336287,-3.02021,-5.840085,654.5933
4.9,0,1.102625,0.9812559,0.1977187,-8.048141,-3.96493,0.6662335,-1165.888
4.92,0,1.132537,1.012662,0.1213828,-8.112272,-3.695009,-7.334845,808.8124
4.94,0,1.149183,1.024016,0.5641309,-8.344812,-4.639729,-0.6238461,-1038.039
4.96,0,1.175729,1.050038,0.2129859,-8.461592,-3.425089,-11.54666,1939.377
4.98,0,1.183669,1.050732,0.304589,-8.723912,-4.30233,1.798782,-1455.893
5,0,1.198812,1.064553,0.1977187,-8.823177,-4.36981,-5.654974,248.3275
5.02,0,1.218406,1.083729,-0.03128911,-8.910433,-4.30233,-5.43891,245.9515
5.04,0,1.227581,1.088442,-0.2297625,-9.088106,-4.30233,-4.511546,39.33945
5.06,0,1.245168,1.105973,0.2129859,-9.156116,-4.36981,-4.222534,-48.78729
5.08,0,1.270195,1.131675,0.5335966,-9.228854,-4.36981,-4.681047,60.73984
5.1,0,1.27512,1.129502,0.2129859,-9.475077,-4.30233,-4.796304,112.4575
5.12,0,1.28806,1.141623,0.09084838,-9.549929,-4.36981,-4.045002,-85.87231
5.14,0,1.301827,1.154339,0.09084838,-9.635505,-4.30233,-4.858714,125.567
5.16,0,1.32668,1.180777,0.1213828,-9.678396,-4.30233,-4.301396,-4.150543
5.18,0,1.341124,1.191106,0.2740546,-9.864919,-4.36981,-4.144138,-65.46635
5.2,0,1.346283,1.191131,0.2587874,-10.04889,-4.30233,-4.897893,133.2685
5.22,0,1.343533,1.183948,0.1366499,-10.1805,-4.36981,-4.087152,-77.79315
5.24,0,1.345531,1.185807,0.09084838,-10.19233,-4.36981,-4.650318,53.48349
5.26,0,1.346738,1.1866,0.1061156,-10.21015,-4.36981,-4.565791,35.91199
5.28,0,1.347821,1.187405,0.1519171,-10.22312,-4.30233,-4.772825,107.2485
5.3,0,1.351184,1.191204,0.1824515,-10.22184,-4.30233,-4.280232,-9.200275
5.32,0,1.361915,1.203844,0.2587874,-10.20113,-4.36981,-4.149642,-64.50639
5.34,0,1.359825,1.198167,0.1824515,-10.30833,-4.30233,-4.903527,134.1853
5.36,0,1.374243,1.215899,0.1061156,-10.25632,-4.43729,-3.857245,-153.4821
5.38,0,1.371625,1.208794,0.1061156,-10.39046,-4.36981,-5.126759,166.417
5.4,0,1.374422,1.211598,0.1977187,-10.40063,-4.30233,-4.693812,90.80056
5.42,0,1.385024,1.224113,0.1519171,-10.37923,-4.30233,-4.252687,-14.80159
5.44,0,1.38845,1.2255,0.09084838,-10.45767,-4.36981,-4.137384,-67.3437
5.46,0,1.383053,1.216691,0.1519171,-10.54662,-4.30233,-4.90497,134.3094
5.48,0,1.388392,1.224093,0.1824515,-10.50048,-4.43729,-3.861273,-152.9509
5.5,0,1.384707,1.21832,0.1977187,-10.55362,-4.36981,-5.134309,167.9051
5.52,-100,1.392472,1.228699,0.1824515,-22.79901,-4.36981,-4.461126,14.23991
5.54,-100,1.401655,0.9926502,0.1061156,-30.68604,-4.36981,-4.497031,21.73924
5.56,-100,1.264499,0.7246118,-7.924421,-34.35728,-4.43729,-4.272055,-56.93689
5.58,-100,0.86369,0.2143179,-22.1687,-36.35181,-4.30233,-5.304465,222.3002
5.6,-100,0.175182,-0.5624836,-36.51985,-36.58221,-4.30233,-4.37796,-4.18502
5.62,-100,-0.6723003,-1.433771,-45.40535,-34.14555,-4.36981,-4.490283,-10.78984
5.64,-100,-1.485115,-2.181972,-45.63436,-29.00642,-4.30233,-5.366173,217.3079
5.66,-100,-1.969237,-2.491587,-14.55038,-21.58616,-4.707209,-3.334298,-377.8046
5.68,-100,-1.924317,-2.201969,4.121384,-13.91453,-3.695009,-9.623571,1452.949
5.7,-100,-1.793335,-1.96064,3.892376,-10.87852,-3.627529,-1.622694,-390.9995
5.72,-100,-1.79731,-1.97052,-1.832817,-11.05675,-4.03241,-0.979763,-712.6788
5.74,-100,-1.780387,-1.949882,-0.6572433,-11.00124,-4.03241,-4.512444,106.0807
5.76,-100,-1.736653,-1.898765,1.159551,-10.92958,-4.36981,-2.891763,-371.2914
5.78,-100,-1.724383,-1.895612,-0.1686933,-11.26852,-3.357609,-8.681541,1326.092
5.8,-100,-1.726905,-1.906454,-0.3060985,-11.5255,-3.695009,0.3276024,-899.6829
5.82,-100,-1.743251,-1.929435,-0.6419765,-11.67631,-3.695009,-3.538641,-26.53054
5.84,-100,-1.734966,-1.915674,-0.2602969,-11.53173,-2.75029,-6.83794,1055.302
5.86,-100,-1.731515,-1.912133,0.1061156,-11.54202,-3.155169,1.334205,-1010.584
5.88,-100,-1.709141,-1.884849,0.4419934,-11.46898,-3.357609,-2.39983,-234.9928
5.9,-100,-1.696076,-1.874184,0.6251997,-11.59544,-3.425089,-3.498976,6.981675
